name,source,lat,lon,address,deal,timing,image_url,image_source,local_image,website,wikidata,wikipedia,category
Ladies Mess,OSM,12.9875968,80.2422869,"Ladies Mess, MGR Street, CMWSSB Division 180, Ward 180, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600113, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\ladies_mess_11.jpg,,,,restaurant
Maami's Mess,OSM,13.0324107,80.2704268,"Maami's Mess, Pichupillan Street, CMWSSB Division 124, Ward 124, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600004, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\maami_s_mess_12.jpg,,,,restaurant
Mayilai Sri Karpagambal Mess,OSM,13.0327388,80.2712197,"Mayilai Sri Karpagambal Mess, East Mada Street, CMWSSB Division 125, Ward 124, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600004, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\mayilai_sri_karpagambal_mess_13.jpg,,,,restaurant
Sangeetha Veg Restaurant,OSM,13.0323689,80.2676459,"Sangeetha Veg Restaurant, Ramkrishna Mutt Road, CMWSSB Division 124, Ward 124, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600004, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),"https://static.wixstatic.com/media/a94a23_85dc3b4244f34c188f14d381f53aa249%7Emv2.png/v1/fit/w_2500,h_1330,al_c/a94a23_85dc3b4244f34c188f14d381f53aa249%7Emv2.png",official_website,venue_images\sangeetha_veg_restaurant.png,https://www.sangeethaveg.com,,,restaurant
Vasantha Bhavan,OSM,13.0005001,80.2560996,"Vasantha Bhavan, Dr Muthulakshmi Salai, CMWSSB Division 175, Ward 175, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600020, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\vasantha_bhavan_15.jpg,,,,restaurant
Adyar Ananda Bhavan,OSM,13.0107826,80.1393059,"Waitrose, Manapakkam Main Road, CMWSSB Division 157, Manapakkam, Ward 157, Zone 12 Alandur, Kolapakkam, Alandur, Chennai, Tamil Nadu, 600128, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),http://nebula.wsimg.com/25b66206cfda5f984003c37bd326e361?AccessKeyId=E37424131F46493677CB&disposition=0&alloworigin=1,official_website,venue_images\adyar_ananda_bhavan.png,http://www.adyaranandabhavanny.com/,Q15178238,,restaurant
Rayer Mess,OSM,13.0355223,80.273014,"Rayer Mess, Ponnambalam Vathiyar Street, CMWSSB Division 125, Ward 125, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600004, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\rayer_mess_17.jpg,,,,restaurant
Bike & Barrels,OSM,13.0402957,80.243777,"Bike & Barrels, Doctor Shivaji Ganesan Road, CMWSSB Division 136, Ward 136, Zone 10 Kodambakkam, Chennai Corporation, Chennai, Tamil Nadu, 600017, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\bike___barrels_18.jpg,,,,bar/pub
Corporation Zone 13 Office - Adyar,OSM,13.0048763,80.2569034,"Corporation Zone 13 Office - Adyar, Tiruvengadam Street, CMWSSB Division 175, Ward 175, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600020, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\corporation_zone_13_office___a_19.jpg,,,,restaurant
Corporation Ward 151 Office,OSM,13.0048886,80.2565984,"Corporation Ward 151 Office, Tiruvengadam Street, CMWSSB Division 175, Ward 175, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600020, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\corporation_ward_151_office_20.jpg,,,,restaurant
Benjarong,OSM,13.0313113,80.2513502,"Benjarong, T T Krishnamachari Road, CMWSSB Division 123, Ward 122, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600002, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\benjarong_21.jpg,,,,restaurant
Okadeys,OSM,13.0384527,80.2567668,"Okadeys, Mowbrays Road, CMWSSB Division 118, Ward 123, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600018, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,google_content,venue_images\okadeys_22.jpg,,,,restaurant
Amaravati,OSM,13.0451417,80.2592552,"Amaravati, Music Academy Flyover, CMWSSB Division 118, Ward 118, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600086, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,google_content,venue_images\amaravati_23.jpg,,,,restaurant
Kalpaka,OSM,13.0468725,80.2605083,"Kalpaka, Pudupet Garden Lane, CMWSSB Division 118, Ward 118, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600086, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\kalpaka_24.jpg,,,,restaurant
Madras Cafe,OSM,13.0008164,80.2043612,"Madras Cafe, MKN Road, CMWSSB Division 161, Ward 161, Zone 12 Alandur, Chennai Corporation, Alandur, Chennai, Tamil Nadu, 600088, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\madras_cafe_25.jpg,,,,cafe
Little Italy,OSM,12.9963828,80.2684474,"Little Italy, E-50, Besant Nagar 17th Cross Street, CMWSSB Division 176, Ward 176, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600090, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\little_italy_26.jpg,,,,restaurant
Mainland China,OSM,12.9911631,80.2170363,"Mainland China, Pandian Street, CMWSSB Division 174, Ward 174, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600042, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\mainland_china_27.jpg,,,,restaurant
Novelty,OSM,13.0889622,80.2790177,"Novelty, Gengaraman Street, CMWSSB Division 59, Ward 59, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600079, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\novelty_28.jpg,,,,restaurant
Annapurna,OSM,13.0747305,80.2626235,"Annapurna, Pantheon Road, CMWSSB Division 61, Ward 61, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600008, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,google_content,venue_images\annapurna_29.jpg,,,,restaurant
Barbecue Nation,OSM,13.0454388,80.2331563,"Barbecue Nation, Somasundaram Road, CMWSSB Division 136, Ward 136, Zone 10 Kodambakkam, Chennai Corporation, Chennai, Tamil Nadu, 600017, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,manual_upload,venue_images\manual_barbecue_nation_30.jpg,,,,bar/pub
Zaras,OSM,13.0456864,80.258853,"Zaras, Music Academy Flyover, CMWSSB Division 118, Ward 118, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600086, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\zaras_31.jpg,,,,restaurant
Sparkys Diner,OSM,13.0729298,80.2526113,"Sparkys Diner, Gengu Reddy Road, CMWSSB Division 61, Ward 61, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600008, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\sparkys_diner_32.jpg,,,,restaurant
Maharaja,OSM,13.0633479,80.2739101,"Maharaja, Triplicane High Road, CMWSSB Division 114, Ward 114, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600005, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,google_content,venue_images\maharaja_33.jpg,,,,restaurant
"Don Pepe, Copper Chimney",OSM,,,,Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,google_content,venue_images\don_pepe__copper_chimney_34.jpg,,,,restaurant
Paneer soda shop,OSM,13.0322882,80.2709135,"Paneer soda shop, East Mada Street, CMWSSB Division 125, Ward 124, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600004, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\paneer_soda_shop_35.jpg,,,,restaurant
Corner Juice Shop,OSM,13.0333788,80.2569388,"Corner Juice Shop, CP Ramaswamy Road, CMWSSB Division 123, Ward 123, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600018, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\corner_juice_shop_36.jpg,,,,restaurant
Wangs Kitchen,OSM,13.0610272,80.2481523,"Wangs Kitchen, Wallace Garden 2nd Street, CMWSSB Division 111, Ward 111, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600006, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\wangs_kitchen_37.jpg,,,,restaurant
Casa Picola,OSM,13.0607599,80.2512477,"Casa Picola, Khader Nawaz Khan Road, CMWSSB Division 111, Ward 111, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600006, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\casa_picola_38.jpg,,,,restaurant
US Pizza,OSM,13.0368042,80.2553943,"US Pizza, Seethammal Road, CMWSSB Division 123, Ward 123, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600018, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\us_pizza_39.jpg,,,,restaurant
The Wanton,OSM,13.0308675,80.2547014,"The Wanton, Janaki Avenue, CMWSSB Division 123, Ward 123, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600002, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\the_wanton_40.jpg,,,,restaurant
Bombay Halwa House,OSM,13.0383754,80.2674307,"Bombay Halwa House, Sullivan Garden Road, CMWSSB Division 123, Ward 123, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600004, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\bombay_halwa_house_41.jpg,,,,restaurant
Mathsya,OSM,13.0750359,80.2581673,"Mathsya, Halls Road, CMWSSB Division 61, Ward 61, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600008, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,google_content,venue_images\mathsya_42.jpg,,,,restaurant
Hotel Sangeetha,OSM,13.0701906,80.2246466,"Hotel Sangeetha, Nelson Manickam Road, CMWSSB Division 106, Ward 106, Zone 8 Anna Nagar, Chennai Corporation, Chennai, Tamil Nadu, 600094, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\hotel_sangeetha_43.jpg,,,,restaurant
Ajnabee Snacks,OSM,13.0677438,80.2566293,"Ajnabee Snacks, Fountain Plaza, CMWSSB Division 61, Ward 61, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600008, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\ajnabee_snacks_44.jpg,,,,restaurant
Asli Punjabi Rasoi Ghar,OSM,13.038511,80.2551167,"Asli Punjabi Rasoi Ghar, Eldams Road, Venus Colony, Ward 118, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600018, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\asli_punjabi_rasoi_ghar_45.jpg,,,,restaurant
Metro Water Office,OSM,13.022282,80.2047029,"Metro Water Office, Balaji Nagar 3rd Cross Street, CMWSSB Division 170, Ward 170, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600032, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\metro_water_office_46.jpg,,,,restaurant
Noodle House,OSM,13.0654928,80.2431296,"Noodle House, Sterling Road, CMWSSB Division 110, Ward 110, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600034, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\noodle_house_47.jpg,,,,restaurant
Lemongrass,OSM,13.0287554,80.253254,"Lemongrass, St. Mary's Road, CMWSSB Division 123, Ward 123, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600002, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\lemongrass_48.jpg,,,,restaurant
Grains of Paradise,OSM,13.0276871,80.2526956,"Grains of Paradise, RA Puram 2nd Main Road, CMWSSB Division 123, Ward 123, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600002, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\grains_of_paradise_49.jpg,,,,restaurant
Cream Centre,OSM,13.026914,80.2556765,"Cream Centre, RA Puram 2nd Main Road, CMWSSB Division 123, Ward 123, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600028, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\cream_centre_50.jpg,,,,restaurant
In Seoul,OSM,13.0321755,80.2521158,"In Seoul, T T Krishnamachari Road, CMWSSB Division 123, Ward 122, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600002, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\in_seoul_51.jpg,,,,restaurant
The Crown,OSM,13.0403208,80.2437255,"The Crown, Doctor Shivaji Ganesan Road, CMWSSB Division 136, Ward 136, Zone 10 Kodambakkam, Chennai Corporation, Chennai, Tamil Nadu, 600017, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\the_crown_52.jpg,,,,restaurant
Rhapsody,OSM,13.0460179,80.2479281,"Rhapsody, Anna Salai (Mount Road), CMWSSB Division 117, Ward 117, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600086, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\rhapsody_53.jpg,,,,restaurant
Paprika,OSM,13.0460421,80.2476349,"Paprika, Blackers Road, CMWSSB Division 117, Ward 117, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600086, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,google_content,venue_images\paprika_54.jpg,,,,restaurant
Aqua,OSM,13.0529661,80.2500813,"Aqua, Uttamar Gandhi Salai (Nungambakkam High Road), CMWSSB Division 113, Ward 113, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600086, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\aqua_55.jpg,,,,restaurant
Lotus,OSM,13.0528789,80.2498533,"Lotus, Uttamar Gandhi Salai (Nungambakkam High Road), CMWSSB Division 113, Ward 113, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600086, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\lotus_56.jpg,,,,restaurant
Leather Bar,OSM,13.0528394,80.2497445,"Leather Bar, Doctor M.G.R. Salai, CMWSSB Division 113, Ward 113, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600034, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\leather_bar_57.jpg,,,,bar/pub
Chipstead,OSM,13.0584407,80.2476996,"Chipstead, Uttamar Gandhi Salai (Nungambakkam High Road), CMWSSB Division 113, Ward 113, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600006, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\chipstead_58.jpg,,,,restaurant
Hip Asia,OSM,13.0630743,80.2612723,"Hip Asia, Chennai Port–Maduravoyal Expressway, CMWSSB Division 111, Ward 111, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600112, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\hip_asia_59.jpg,,,,restaurant
Akasaka,OSM,12.9881641,80.2556827,"Akasaka, 1st Main Road, CMWSSB Division 180, Ward 180, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600041, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\akasaka_60.jpg,,,,restaurant
Thaali Corner,OSM,13.0851761,80.2447589,"Thaali Corner, Purasawalkam High Road, CMWSSB Division 103, Ward 103, Zone 8 Anna Nagar, Chennai Corporation, Chennai, Tamil Nadu, 600010, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\thaali_corner_61.jpg,,,,restaurant
Cornucopia,OSM,13.0307571,80.2457033,"Cornucopia, Cenotaph Road, CMWSSB Division 122, Ward 122, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600035, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\cornucopia_62.jpg,,,,restaurant
Dhaba Express,OSM,13.0007325,80.2704376,"Dhaba Express, Besant Nagar 4th Main Road, CMWSSB Division 176, Ward 176, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600090, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\dhaba_express_63.jpg,,,,restaurant
Parvathi Bhavan,OSM,13.0387921,80.2570003,"Parvathi Bhavan, Maharaja Surya Road, CMWSSB Division 118, Ward 118, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600018, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\parvathi_bhavan_64.jpg,,,,restaurant
The Dome,OSM,13.0065655,80.2055843,"The Dome, Kambar Street, CMWSSB Division 160, Ward 160, Zone 12 Alandur, Chennai Corporation, Alandur, Chennai, Tamil Nadu, 600016, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\the_dome_65.jpg,,,,restaurant
Cilantro,OSM,13.0064035,80.2057624,"Cilantro, Kambar Street, CMWSSB Division 160, Ward 160, Zone 12 Alandur, Chennai Corporation, Alandur, Chennai, Tamil Nadu, 600016, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\cilantro_66.jpg,,,,restaurant
Navratna,OSM,13.0062581,80.2057624,"Navratna, Kambar Street, CMWSSB Division 160, Ward 160, Zone 12 Alandur, Chennai Corporation, Alandur, Chennai, Tamil Nadu, 600016, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\navratna_67.jpg,,,,restaurant
Kayal,OSM,13.0061052,80.2057662,"Kayal, Vembuli Amman Koil Street, CMWSSB Division 160, Ward 160, Zone 12 Alandur, Chennai Corporation, Alandur, Chennai, Tamil Nadu, 600032, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\kayal_68.jpg,,,,restaurant
Makkhan Sweets,OSM,13.0311615,80.2459839,"Makkhan Sweets, Cenotaph Road, CMWSSB Division 122, Ward 122, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600035, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\makkhan_sweets_69.jpg,,,,restaurant
Food Village,OSM,12.9278334,80.2521808,"Food Village, Gowraksnkovil street, CMWSSB Division 196, Ward 196, Zone 15 Sholinganallur, Chennai Corporation, Sholinganallur, Chennai, Tamil Nadu, 600115, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\food_village_70.jpg,,,,restaurant
By The Bay,OSM,13.0012892,80.2712305,"By The Bay, Elliot's Beach Promenade, CMWSSB Division 176, Ward 176, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600090, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\by_the_bay_71.jpg,,,,restaurant
Tasty Jones,OSM,13.0010216,80.2706983,"Tasty Jones, Besant Nagar 4th Main Road, CMWSSB Division 176, Ward 176, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600090, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\tasty_jones_72.jpg,,,,restaurant
Hotel Balaji,OSM,13.0844444,80.2767957,"Hotel balaji, Kolanda Street, CMWSSB Division 59, Ward 59, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600001, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\hotel_balaji_73.jpg,,,,restaurant
Eden,OSM,13.0512536,80.2261672,"Gopala Menon Road, CMWSSB Division 134, Ward 134, Zone 10 Kodambakkam, Chennai Corporation, Chennai, Tamil Nadu, 600024, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\eden_74.jpg,,,,restaurant
TASMAC,OSM,13.0533359,80.2494399,"Tasmac, Doctor M.G.R. Salai, CMWSSB Division 113, Ward 113, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600034, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\tasmac_75.jpg,,,,restaurant
Vasantha Bhavan Nama veedu,OSM,13.0492377,80.207616,"Vasantha Bhavan Nama veedu, Arcot Road, CMWSSB Division 130, Ward 130, Zone 10 Kodambakkam, Chennai Corporation, Chennai, Tamil Nadu, 600026, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\vasantha_bhavan_nama_veedu_76.jpg,,,,restaurant
Esthell Continental Hotels,OSM,13.0072346,80.2594099,"Esthell Continental Hotels, Sardar Patel Road, CMWSSB Division 176, Ward 176, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600020, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\esthell_continental_hotels_77.jpg,,,,restaurant
