"name	category	area	address	lat	lon	phone	email	website	facebook	instagram	tiktok	twitter	opening_hours	happy_hour_status	happy_hour_details	happy_hour_timings	confidence	sources	source_urls	evidence_text"
"Cafe Bharat	cafe	Colaba	""near ghatkopar station", Shraddhanand Road, mumbai," 400077""	18.9335365	72.8270869	+91 0123 4567 89		https://bharatcafe.com					Mo-Su 10:00-22:00	candidate			0.35	overpass_osm	https://www.openstreetmap.org/node/12312152034 | https://www.openstreetmap.org/node/13470129566	""Bharat Cafe restaurant near ghatkopar station", Shraddhanand Road, mumbai," 400077 || Cafe Bharat cafe""",,,,,,,,,,,,,,
"Cafe Coffee Day	cafe	Bandra West	D Joshi Marg	19.029206	72.8382235	93657482838		https://www.cafecoffeday.in					""Mo-Su","PH 08:00-22:00""	candidate			0.35	overpass_osm	https://www.openstreetmap.org/node/11383288464 | https://www.openstreetmap.org/node/1579291348 | https://www.openstreetmap.org/node/2125320195 | https://www.openstreetmap.org/node/2131895195 | https://www.openstreetmap.org/node/2166872171 | https://www.openstreetmap.org/node/2188855052 | https://www.openstreetmap.org/node/2366707929 | https://www.openstreetmap.org/node/2366743771 | https://www.openstreetmap.org/node/2370526133 | https://www.openstreetmap.org/node/2396197796 | https://www.openstreetmap.org/node/2805271348 | https://www.openstreetmap.org/node/3008644986 | https://www.openstreetmap.org/node/3216971091 | https://www.openstreetmap.org/node/3231190599 | https://www.openstreetmap.org/node/3235946452 | https://www.openstreetmap.org/node/3431461647 | https://www.openstreetmap.org/node/3438547095 | https://www.openstreetmap.org/node/3484968657 | https://www.openstreetmap.org/node/4102508704 | https://www.openstreetmap.org/node/4326830390 | https://www.openstreetmap.org/node/4573028753 | https://www.openstreetmap.org/node/4841695622 | https://www.openstreetmap.org/node/4875167104 | https://www.openstreetmap.org/node/496816401 | https://www.openstreetmap.org/node/5506320531 | https://www.openstreetmap.org/node/6322320328 | https://www.openstreetmap.org/node/6377237904 | https://www.openstreetmap.org/node/6383339473 | https://www.openstreetmap.org/node/6790531869 | https://www.openstreetmap.org/node/7202827018 | https://www.openstreetmap.org/node/7944300038 | https://www.openstreetmap.org/node/9308325853 | https://www.openstreetmap.org/node/9548741506 | https://www.openstreetmap.org/way/1036499292 | https://www.openstreetmap.org/way/353749786	""Cafe Cofee Day cafe || Cafe Cofee Day cafe Navi Mumbai || Cafe Coffee Day cafe || Cafe Coffee Day cafe 108", Dr. R. G. Thadani Marg, Mumbai || Cafe Coffee Day cafe 12, Ganesh Gawde Road, mumbai, 400080 || Cafe Coffee Day cafe 12/4, MHB Colony Rd || Cafe Coffee Day cafe 123, Ganesh Purushottam Rd, Thane," 400605 || Cafe Coffee Day cafe D Joshi Marg""",,,,,,,,,,
"Candies	cafe	Bandra West	""Mumbai"," 400050""	19.0495544	72.8298692	2226423512		http://www.candiescafe.com						candidate			0.35	overpass_osm	https://www.openstreetmap.org/node/5246971908 | https://www.openstreetmap.org/node/6960777256	""Candies cafe || Candies cafe Mumbai"," 400050""",,,,,,,,,,,,,,,,,,
"Canteen	cafe	Navi Mumbai	Thane	19.075981	72.9921924									candidate			0.35	overpass_osm	https://www.openstreetmap.org/way/144021909 | https://www.openstreetmap.org/way/151869151	Canteen cafe || canteen restaurant Thane",,,,,,,,,,,,,,,,,,,,
"Chaayos	cafe	Bandra	""Unit 4", Carlton Court, Turner Road, Manuel Gonsalves Road, Bandra, Mumbai," 400050""	19.0593648	72.8294628	073049 91343							07:00-23:00	candidate			0.35	overpass_osm	https://www.openstreetmap.org/node/10779234897 | https://www.openstreetmap.org/node/11365091490 | https://www.openstreetmap.org/node/11372185924 | https://www.openstreetmap.org/node/11691753209 | https://www.openstreetmap.org/node/12959313155 | https://www.openstreetmap.org/node/13240420105 | https://www.openstreetmap.org/node/13470129567 | https://www.openstreetmap.org/node/13582456920 | https://www.openstreetmap.org/node/6805394485 | https://www.openstreetmap.org/node/8451839399	""Chaayos cafe || Chaayos cafe Unit 4", Carlton Court, Turner Road, Manuel Gonsalves Road, Bandra, Mumbai," 400050""",,,,,,,,
"Coffee by Di Bella	cafe	Bandra West		19.0705444	72.8226323									candidate			0.35	overpass_osm	https://www.openstreetmap.org/node/11482202270 | https://www.openstreetmap.org/node/9137843245	Coffee by Di Bella cafe",,,,,,,,,,,,,,,,,,,,
"Costa	cafe	Bandra West	""P Tandon Marg"," 400053""	19.0256439	72.835739									candidate			0.35	overpass_osm	https://www.openstreetmap.org/node/11207580746 | https://www.openstreetmap.org/node/11452009154 | https://www.openstreetmap.org/node/11452014932 | https://www.openstreetmap.org/node/2125146906	""Costa cafe || Costa cafe P Tandon Marg"," 400053""",,,,,,,,,,,,,,,,,,
"Di Bella Coffee	cafe	Juhu		19.1253994	72.8222426									candidate			0.35	overpass_osm	https://www.openstreetmap.org/node/2125324753 | https://www.openstreetmap.org/node/3921993019	Di Bella Coffee cafe",,,,,,,,,,,,,,,,,,,,
"Earth Cafe	cafe	Bandra West		19.0590914	72.8339725								Mo-Su 08:00-23:00	candidate			0.35	overpass_osm	https://www.openstreetmap.org/node/12353989426 | https://www.openstreetmap.org/node/12848913148	Earth Cafe cafe",,,,,,,,,,,,,,,,,,,,
"Easy Boba	cafe	Bandra West		19.056272	72.8342539									candidate			0.35	overpass_osm	https://www.openstreetmap.org/node/12346531476 | https://www.openstreetmap.org/node/12848913190	Easy Boba cafe",,,,,,,,,,,,,,,,,,,,
"Garde Manger Cafe	cafe	Mumbai	""Paranjpe B Scheme Road No 1", Mumbai," 400057""	19.1048126	72.8522763	+91 70450 04488;+91 82918 16108							Mo-Su 10:30-22:30	candidate			0.35	overpass_osm	https://www.openstreetmap.org/node/6721812590 | https://www.openstreetmap.org/way/354042410	""Garde Manger Cafe cafe Paranjpe B Scheme Road No 1", Mumbai, 400057 || Garde Manger cafe Hanuman Mandir Road, Mumbai," 400057""",,,,,,,,,,,,,,
"Irani Cafe	cafe	Bandra West		19.0390227	72.8428163									candidate			0.35	overpass_osm	https://www.openstreetmap.org/node/4821879686 | https://www.openstreetmap.org/node/5276935422	Irani Cafe cafe",,,,,,,,,,,,,,,,,,,,
"Javaphile	cafe	Bandra West		19.0616434	72.8288715									candidate			0.35	overpass_osm	https://www.openstreetmap.org/node/11296371115 | https://www.openstreetmap.org/node/13582456929	Javaphile cafe",,,,,,,,,,,,,,,,,,,,
