name,category,area,address,lat,lon,phone,email,website,facebook,instagram,tiktok,twitter,opening_hours,happy_hour_status,happy_hour_details,happy_hour_timings,confidence,sources,source_urls,evidence_text
Booze Bar (Reggae Bar),bar,Krabi,,8.0609436,98.9196351,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/5346320021,Booze Bar (Reggae Bar) bar
Breeze Pool Bar,bar,Tubkaek,,8.0516123,98.756226,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/way/1348631312,Breeze Pool Bar bar
ChaPlu Bar,bar,Railay,,8.0315081,98.8228022,,,,,,,,14:00-23:50,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/4631918689,ChaPlu Bar bar
Chilling Bar,bar,Railay,,8.0383923,98.8330668,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/9435668458,Chilling Bar bar
Club Millésime,bar,Tubkaek,,8.0629958,98.7472616,,,,,,,,Mo-Su 06:00-22:00,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/13677522909,Club Millésime bar
Coco Beach Bar,bar,Koh Lanta,,7.5770053,99.0322798,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/10298119045,Coco Beach Bar bar
Coco Loco Bar,bar,Koh Lanta,,7.6355858,99.0302986,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/12686096428,Coco Loco Bar bar
Coco Vida,bar,Tubkaek,,8.0523447,98.7552982,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/way/1127706930,Coco Vida bar
Cotton Bar,bar,Railay,,8.0344841,98.8188188,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/13279207801,Cotton Bar bar
Crazy Bar,bar,Koh Lanta,,7.5992906,99.0364768,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/7016849739,Crazy Bar bar
Crystal Bar,bar,Railay,,8.0322057,98.8250873,,,,,,,,11:00-03:00,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/13678315228,Crystal Bar bar
Devy Ale Cafe,bar,Koh Lanta,,7.5712856,99.0338018,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/2624917233,Devy Ale Cafe bar
Dojo,bar,Koh Phi Phi,,7.7397867,98.773165,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/2034506336,Dojo bar
Feeling Bar,bar,Koh Lanta,,7.6176929,99.0332364,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/6357734628,Feeling Bar bar
Freeway 420 Bar,bar,Koh Lanta,,7.5762928,99.0325577,,,,,,,,Mo-Su 12:00-03:00,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/1966243347,Freeway 420 Bar bar
Fruit Shakes,bar,Koh Jum,,7.8486732,98.9727184,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/7151175294,Fruit Shakes bar
Funky Monkey,bar,Koh Lanta,,7.6021727,99.0359806,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/way/657970660,Funky Monkey bar
Fusion Bar,bar,Krabi,Path connecting Khlong Khong Beach and Long Beach,7.5913137,99.0324187,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/4537594793,Fusion Bar bar Path connecting Khlong Khong Beach and Long Beach
Gypsy Bar,bar,Koh Lanta,,7.6173063,99.0309767,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/3283395687,Gypsy Bar bar
Happy Bar,bar,Koh Lanta,,7.6180181,99.0322623,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/3328193419,Happy Bar bar
Harry’s Sunset,bar,Koh Lanta,,7.5392729,99.0482609,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/6942648541,Harry’s Sunset bar
Hula Hula Bar - Phi Phi Island,bar,Koh Phi Phi,,7.7801074,98.7614898,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/6076475654,Hula Hula Bar - Phi Phi Island bar
Ibiza House Pool Bar,bar,Koh Phi Phi,,7.7423052,98.7738044,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/4324689791,Ibiza House Pool Bar bar
Infinity Beach Bar,bar,Koh Lanta,,7.5397153,99.0484444,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/4130941357,Infinity Beach Bar bar
Irie Bar,bar,Saladan,"439, Moo 3, Saladan, 81150",7.6172874,99.0328732,+66 84 170 6673,,,,,,,Mo 13:00-21:00; Tu 17:00-22:00; We-Th 13:00-22:00; Fr 17:00-22:00; Sa-Su 13:00-22:00,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/3328193420,"Irie Bar bar 439, Moo 3, Saladan, 81150"
Iyara Bar,bar,Koh Lanta,,7.6480313,99.0370272,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/13265027993,Iyara Bar bar
JJ Bar,bar,Koh Lanta,,7.6233869,99.0330925,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/13282871228,JJ Bar bar
JM Party Bar Aonang,bar,Railay,,8.0320264,98.8252936,+66 92 671 5665,,,,,,,18:00-02:00,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/3676113296,JM Party Bar Aonang bar
Jah Rastafari Reggae Bar,bar,Tubkaek,,8.0423379,98.7623277,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/7106647885,Jah Rastafari Reggae Bar bar
Jojo Reggae Bar,bar,Railay,,8.0349753,98.8188056,,,,,,,,Mo-Su 09:00-02:00,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/7221234785,Jojo Reggae Bar bar
Joy Beach Bar,bar,Railay,,8.0122533,98.842868,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/660225544,Joy Beach Bar bar
Jungle Bar Krabi,bar,Krabi,,8.0550523,98.916345,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/2828528473,Jungle Bar Krabi bar
Jungle Brothers 69,bar,Koh Phi Phi,,7.7335361,98.7817687,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/12497632723,Jungle Brothers 69 bar
K.R. Bar&Pub,bar,Railay,,8.0339462,98.8291599,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/3676113258,K.R. Bar&Pub bar
Kiss Bar Ao Nang,bar,Krabi,"246/8, Soi RCA, 81180",8.032485,98.8250561,+66 80 777 9374,,https://kissbaraonang.com,https://www.facebook.com/KissBarAoNangToo/,,,,Mo-Su 18:00-03:00,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/3676113261,"Kiss Bar Ao Nang bar 246/8, Soi RCA, 81180"
Klapa Klum Bar,bar,Koh Lanta,,7.5631709,99.0362274,,,,,,,,"Mo-Su,PH 10:00-23:00",candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/2624938603,Klapa Klum Bar bar
Koby Bar,bar,Koh Lanta,,7.6094518,99.0323643,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/2670360784,Koby Bar bar
Koh Poda Restaurant and Pool Bar,bar,Tubkaek,,8.0628501,98.7466019,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/way/1331937802,Koh Poda Restaurant and Pool Bar bar
Kongsiam Bar,bar,Koh Phi Phi,,7.740617,98.7736228,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/3684460421,Kongsiam Bar bar
Korner Bar,bar,Koh Lanta,,7.5966263,99.032966,,,,,,,,Mo-Su 14:00-03:00,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/6163154847,Korner Bar bar
Kredkaew Bar,bar,Tubkaek,,8.0959233,98.7470262,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/13664027472,Kredkaew Bar bar
Krit Friendly Bar,bar,Koh Lanta,,7.5614985,99.0375786,+66 83 140 8902,,,https://@kritfriendlybar,,,,24/7,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/2624938606,Krit Friendly Bar bar
La Belle beauty and spa,bar,Krabi,"Soi 13, 81000",8.0334762,98.8303178,+66933954156,,https://www.labellebeautyandspa.com/,,,,https://www.thebestnailsphoenix.com/services,Tu-Su 12:00-02:00,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/4704788689,"La Belle beauty and spa bar Soi 13, 81000"
Last Fisherman Bar,bar,Railay,,8.0286048,98.8250708,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/1016378256,Last Fisherman Bar bar
Lays Bar,bar,Koh Lanta,,7.6468122,99.0334415,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/6539831613,Lays Bar bar
Leo Bar,bar,Railay,,8.0320218,98.8251924,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/4770320325,Leo Bar bar
Local Fruit Shake,bar,Koh Jum,,7.8487897,98.9435045,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/7148859505,Local Fruit Shake bar
Lucky one,bar,Koh Lanta,,7.6284389,99.0335728,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/13254403650,Lucky one bar
Luna Beach Bar,bar,Railay,,8.038795,98.8157624,,,,,,,,"Mo-Su,PH 10:00-23:00",candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/3678616715,Luna Beach Bar bar
Majestic Bar,bar,Koh Lanta,,7.5352546,99.0497852,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/2624983036,Majestic Bar bar
Malati Beach Bar | Dusit,bar,Tubkaek,,8.0504473,98.756706,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/12475076401,Malati Beach Bar | Dusit bar
Mao Mao Bar,bar,Tubkaek,,8.0532459,98.7585323,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/10704507656,Mao Mao Bar bar
Mixing Bar,bar,Koh Lanta,,7.5616234,99.0374979,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/2085578933,Mixing Bar bar
Modern Bar,bar,Koh Lanta,,7.5065701,99.06452,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/12442265173,Modern Bar bar
Mong Bar,bar,Koh Lanta,,7.5436174,99.0493269,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/2337171967,Mong Bar bar
Mook Andabar,bar,Koh Lanta,,7.6381014,99.0293804,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/4634421289,Mook Andabar bar
Mr. Guitar Bar,bar,Koh Lanta,,7.6230955,99.0329935,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/13282860699,Mr. Guitar Bar bar
Mr. Long Bar,bar,Krabi,"915, m. 2, Soi 9, 81000",8.0388412,98.8380811,+66644291495,,,,,,,Mo-Su 09:00-00:00,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/5665462827,"Mr. Long Bar bar 915, m. 2, Soi 9, 81000"
Mushroom Bar,bar,Koh Lanta,,7.5754364,99.0330797,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/2624932364,Mushroom Bar bar
Nang An Bar,bar,Railay,,8.0393723,98.8152532,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/4603491702,Nang An Bar bar
Old Town Cowboy,bar,Koh Lanta,,7.5329357,99.0923379,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/13279160228,Old Town Cowboy bar
Ole Bar,bar,Krabi,,8.0620316,98.9183307,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/12663554585,Ole Bar bar
Ozone Bar,bar,Koh Lanta,,7.617321,99.0293128,,,,,,,,,candidate,,,0.38,overpass_osm,https://www.openstreetmap.org/node/3283395688,Ozone Bar bar
